"Function","MatEigenvector_C","(Mat, Eigenvalues, [MaxErr]) ","Returns the complex eigenvector of a given complex eigenvalues","Linear Algebra","Complex eigenvector of eigenvalue",,"matrix","matrix.hlp","73"
"Function","MatEigenvector_inv","(Mat, Eigenvalue)","Returns the Eigenvector associate with a given eigenvalue (inverse iterative algorithm)","Linear Algebra","Eigenvector of  eigenvalue",,"matrix","matrix.hlp","92"
"Function","MatEigenvector_Jacobi","(Mat, Optional MaxLoops) ","Eigenvectors of symmetric matrix with Jacobi algorithm","Linear Algebra","Eigenvectors of symmetric matrix with Jacobi algorithm",,"matrix","matrix.hlp","18"
"Function","MatEigenvector_max","(Mat, [Norm]) ","Find the dominant eigenvalues of a unsymmetric matrix using the powers' method","Linear Algebra","Dominant eigenvalues with powers' method",,"matrix","matrix.hlp","61"
"Function","MatEigenvector_pow","(Mat, [Norm], [IterMax]) ","Find all eigenvalues of a unsymmetric matrix using the powers' method","Linear Algebra","Eigenvalues with powers' method",,"matrix","matrix.hlp","63"
"Function","MatEigenvector3","(Mat3, Eigenvalues, [MaxErr])","Eigenvectors of tridiagonal matrix","Linear Algebra","Eigenvectors of tridiagonal matrix",,"matrix","matrix.hlp","90"
"Function","MatExtract","(Mat, i_pivot, j_pivot) ","Extract sub-matrix","Linear Algebra","Extract sub-matrix",,"matrix","matrix.hlp","31"
"Function","MatMopUp","(M, [ErrMin]) ","Matrix mop-up of round-off errors","Linear Algebra","Matrix mop-up of round-off errors",,"matrix","matrix.hlp","52"
"Function","MatNorm","(v, [Norm]) ","Return the matrix or vector norm (0, 1, 2, 3)","Linear Algebra","Vector or Matrix Norm",,"matrix","matrix.hlp","85"
"Function","MatNormalize","(Mat, [NormType]) ","Normalize a vectors set with norm = 0 (|v|=1), 1 (max), 2 (min)","Linear Algebra","Matrix Normalization",,"matrix","matrix.hlp","66"
"Function","MatOrtNorm","(Mat) ","Orthonormalization","Linear Algebra","Orthonormalization",,"matrix","matrix.hlp","32"
"Function","MatPerm","(Permutations) ","Return the permuation matrix. ","Linear Algebra","Permutation matrix",,"matrix","matrix.hlp","83"
"Function","MatRnd",,"Random matrix","Linear Algebra","Random matrix",,"matrix","matrix.hlp","20"
"Function","MatRndEig",,"Random matrix with given eigenvalues","Linear Algebra","Random matrix with given eigenvalues",,"matrix","matrix.hlp","20"
"Function","MatRndEigSym",,"Random symmetric matrix with given eigenvalues","Linear Algebra","Random symmetric matrix with given eigenvalues",,"matrix","matrix.hlp","20"
"Function","MatRndRank",,"Random matrix with given rank or det.","Linear Algebra","Random matrix with given rank or determinant",,"matrix","matrix.hlp","20"
"Function","MatRndSim",,"Random symmetric matrix with given rank or det.","Linear Algebra","Random symmetric matrix with given rank or det.",,"matrix","matrix.hlp","20"
"Function","MatRot","(n, teta, p, q) ","Returns the orthogonal planar rotation matrix","Linear Algebra","Returns the orthogonal planar rotation matrix",,"matrix","matrix.hlp","58"
"Function","MatRotation_Jacobi","(Mat) ","Jacobi's rotation matrix","Linear Algebra","Jacobi's rotation matrix",,"matrix","matrix.hlp","33"
"Function","Path_Floyd","(Mat) ","All-pairs-path of Graph with Floyd's algorithm","Linear Algebra","All-pairs-path of Graph with Floyd's algorithm",,"matrix","matrix.hlp","46"
"Function","Path_Min","(G) ","Returns the shortest path of a Graph with Floyd's algorithm","Linear Algebra","Returns the shortest path of a Graph with Floyd's algorithm",,"matrix","matrix.hlp","47"
"Function","Poly_Roots","(Coefficients, [ErrMax]) ","Find all roots of a given polynomial a0+a1*x+a2*x^2+…an*x^n with Lin- Bairstow method
Coefficients is a vector= [a0,a1,a2,..an]","Polynomial","Polynomial rootfinder with Lin-Bairstow method",,"matrix","matrix.hlp","74"
"Function","Poly_Roots_QR","(Coefficients)","Find all roots of a given polynomial a0+a1*x+a2*x^2+…an*x^n with QR method
Coefficients is a vector= [a0,a1,a2,..an]","Polynomial","Polynomial rootfinder with QR method",,"matrix","matrix.hlp","89"
"Function","ProdScal","(v1, v2) ","Scalar Product (inner)","Linear Algebra","Scalar Product (inner)",,"matrix","matrix.hlp","13"
"Function","ProdScal_C","(v1, v2, [Cformat]) ","Complex scalar product","Linear Algebra","Complex scalar product",,"matrix","matrix.hlp","72"
"Function","ProdVect","(v1, v2) ","Vector Product 3D","Linear Algebra","Vector Product 3D",,"matrix","matrix.hlp","14"
"Function","REGRL","(Y, X, [ZeroIntcpt] ) ","Linear regression with SVD","Interpolation","Linear regression with SVD",,"matrix","matrix.hlp","55"
"Function","REGRP","(degree, f, x, [ZeroIntcpt] ) ","Polynomial regression","Interpolation","Polynomial regression",,"matrix","matrix.hlp","77"
"Function","RRMS","(v1, [v2]) ","This function computes the root mean squares of differences of two datasets ","Linear Algebra","root mean squares ",,"matrix","matrix.hlp","81"
"Function","Simplex","(Funct, Constrain, [Opt]) ","Linear Optimization with Simplex method","Linear Algebra","Linear Optimization with Simplex method",,"matrix","matrix.hlp","75"
"Function","SVD_D","(Mat)","Singular Value Decomposition [U]*[D]*[V]^t: returns D","Linear Algebra","Singular Value Decomposition [U]*[D]*[V]^t: returns D","system","matrix","matrix.hlp","51"
"Function","SVD_U","(Mat)","Singular Value Decomposition [U]*[D]*[V]^t: returns U","Linear Algebra","Singular Value Decomposition [U]*[D]*[V]^t: returns U","system","matrix","matrix.hlp","51"
"Function","SVD_V","(Mat)","Singular Value Decomposition [U]*[D]*[V]^t: returns V","Linear Algebra","Singular Value Decomposition [U]*[D]*[V]^t: returns V","system","matrix","matrix.hlp","51"
"Function","SYSLIN","(Mat, V, [IMode], [Tiny]) ","Solve Linear System [A]x=b","Linear Algebra","Solve Linear System [A]x=b",,"matrix","matrix.hlp","22"
"Function","SYSLIN_C","(A, B, [Cformat]) ","Solve a Complex Linear System [A]x=b","Linear Algebra","Solve a Complex Linear System [A]x=b",,"matrix","matrix.hlp","78"
"Function","SYSLIN_ITER_G","(Mat, U, X0, Optional Nmax) ","Solve Linear System with Gauss-Seidel algorithm","Linear Algebra","Solve Linear System with Gauss-Seidel algorithm",,"matrix","matrix.hlp","23"
"Function","SYSLIN_ITER_J","(Mat, U, X0, Optional Nmax) ","Solve Linear System with Jacobi algorithm","Linear Algebra","Solve Linear System with Jacobi algorithm",,"matrix","matrix.hlp","24"
"Function","SYSLIN_T","(Mat, v, [Tiny]) ","Solve triangular linear sistem with forward/backward substitutions","Linear Algebra","Solve triangular linear sistem",,"matrix","matrix.hlp","82"
"Function","SYSLIN3","(Mat3, v) ","Solve tridiagonal linear system","Linear Algebra","Solve tridiagonal linear system",,"matrix","matrix.hlp","79"
"Function","SYSLINSING","(Mat, [V], [MaxErr]) ","Solve Singular Linear System [A]x=b","Linear Algebra","Solve Singular Linear System [A]x=b",,"matrix","matrix.hlp","25"
"Function","TRASFLIN","(Mat, x, Optional B) ","Linear Transform","Linear Algebra","Linear Transform",,"matrix","matrix.hlp","26"
"Function","VarimaxIndex","(Mat, [Normal]) ","Returns the Varimax index of a given Factors matrix","Statistical ","Returns the Varimax index of a given Factors matrix","kaiser ","matrix","matrix.hlp","60"
"Function","VarimaxRot","(FL, [Normal], [MaxErr], [MaxIter]) ","Computes the orthogonal rotation with Varimax Kaiser's","Statistical ","Computes the orthogonal rotation with Varimax Kaiser's",,"matrix","matrix.hlp","59"
"Function","Mat_BlokPerm","(Mat)","returns the permutation matrix for the block reduction","Linear Algebra","returns the permutation matrix for the block reduction","block partition triangular","matrix","matrix.hlp","108"
"Function","Mat_Blok","(Mat)","returns the block-partioned form of a given matrix","Linear Algebra","returns the block-partioned form of a given matrix",,"matrix","matrix.hlp","107"
